learning_rate,beta_1,beta_2,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100,Test
0.0005,0.8,0.9999,0.8459374635880901,0.8975968914451574,0.9063140281709563,0.9123015553655703,0.9127054499542613,0.9091239891905871,0.9162218664735114,0.9155893219737583,0.9171271652775663,0.9121250756094599,0.9159889545542919
0.0001,0.95,0.99,0.7922240043447643,0.8449055329900725,0.8645302126159067,0.8752470885139338,0.8715708588421043,0.8801937665614865,0.8873471591692272,0.8863039598512872,0.8839178384005159,0.8917452299349261,0.8938294181286464
0.0001,0.95,0.999,0.8007616227019596,0.8532195691586558,0.8742179757433025,0.868475526155646,0.8767112611782577,0.886297064086085,0.8917859671812757,0.8908308320353331,0.894439611863991,0.8975119933667182,0.8889656041425142
0.0001,0.95,0.9999,0.8049793556083659,0.8447616370332074,0.8556254472305941,0.8719114994428698,0.8692970196978548,0.8790588963235901,0.882472663966114,0.8855293866072786,0.8915169423871829,0.8879940614788102,0.8875464771051584
0.0001,0.9,0.99,0.80553186844612,0.8423401312911679,0.8653147164669616,0.8754548098474629,0.8834167106032416,0.8711645231772591,0.8892407903483548,0.8941449571403621,0.8898425927188924,0.893145576531557,0.8881355663024563
0.0001,0.9,0.999,0.8020531212992876,0.847737024123201,0.8585503634427898,0.8772458603856151,0.8783463978212895,0.8667388108955244,0.8873945137229435,0.8917274622133349,0.886635421951223,0.8868741821115688,0.8866161537326024
0.0001,0.9,0.9999,0.7882937942515221,0.8364587311365363,0.8560799639732337,0.869992237363906,0.8881061706128233,0.8782332618367568,0.8884592486068288,0.8839793313808425,0.8833140318268586,0.8934778138042301,0.8862698353952148
0.0001,0.8,0.99,0.7988769741935939,0.8185830518024838,0.8589957157966388,0.873344205394963,0.8762542020760318,0.8792721129949271,0.89547545990399,0.8891019091559199,0.8949001779633828,0.8917821565331326,0.8870175260675524
0.0001,0.8,0.999,0.7550691323820397,0.84147286369854,0.857420177222467,0.8695542559047457,0.877247258534305,0.8689199270061453,0.8814541798521279,0.8868709594516637,0.8856068794630924,0.893353216448974,0.8905674622683717
0.0001,0.8,0.9999,0.8050094074072355,0.8359921659900298,0.861030060331476,0.8661275846342857,0.8863055197447818,0.880433831456337,0.8759587164612757,0.888686844415286,0.8904415012052782,0.8820631239988975,0.8831119972712884
